job_id,std_title,tenant_title,required_skills
J000,Compliance Officer,Reg Affairs Lead,"python,compliance"
J001,Compliance Officer,Reg Affairs Lead,"compliance,leadership"
J002,Data Scientist,Quant Modeling Specialist,"compliance,aws,communication"
J003,Data Scientist,Quant Modeling Specialist,"sql,java"
J004,Compliance Officer,Reg Affairs Lead,"compliance,sql,java,audit"
J005,Senior Risk Analyst,Risk & Controls Sr Associate,"risk_modeling,java,ml"
J006,Data Scientist,Data Scientist,"risk_modeling,excel,python,compliance"
J007,Compliance Officer,Compliance Officer,"audit,communication"
J008,Senior Risk Analyst,Risk & Controls Sr Associate,"leadership,underwriting"
J009,Data Scientist,Quant Modeling Specialist,"audit,excel,communication"
J010,Software Engineer,Digital Solutions Engineer,"leadership,java"
J011,Data Scientist,Data Scientist,"underwriting,leadership,java,ml"
J012,Software Engineer,Digital Solutions Engineer,"underwriting,excel,compliance"
J013,Software Engineer,Software Engineer,"java,leadership,aws,communication"
J014,Compliance Officer,Reg Affairs Lead,"sql,ml,compliance,communication"
J015,Senior Risk Analyst,Senior Risk Analyst,"leadership,sql"
J016,Senior Risk Analyst,Senior Risk Analyst,"communication,java,python,leadership"
J017,Software Engineer,Digital Solutions Engineer,"ml,excel"
J018,Senior Risk Analyst,Risk & Controls Sr Associate,"java,python,risk_modeling,ml"
J019,Compliance Officer,Reg Affairs Lead,"sql,leadership,underwriting,python"
J020,Compliance Officer,Reg Affairs Lead,"leadership,aws,sql,underwriting"
J021,Software Engineer,Digital Solutions Engineer,"communication,audit,underwriting"
J022,Software Engineer,Software Engineer,"compliance,underwriting"
J023,Data Scientist,Quant Modeling Specialist,"ml,excel"
J024,Compliance Officer,Reg Affairs Lead,"aws,java"
J025,Compliance Officer,Reg Affairs Lead,"leadership,ml,java,communication"
J026,Software Engineer,Digital Solutions Engineer,"underwriting,audit,excel"
J027,Compliance Officer,Compliance Officer,"aws,java"
J028,Senior Risk Analyst,Risk & Controls Sr Associate,"communication,excel"
J029,Software Engineer,Digital Solutions Engineer,"python,excel"
J030,Compliance Officer,Reg Affairs Lead,"java,underwriting"
J031,Senior Risk Analyst,Senior Risk Analyst,"risk_modeling,excel,java,audit"
J032,Senior Risk Analyst,Senior Risk Analyst,"underwriting,ml,audit,java"
J033,Senior Risk Analyst,Risk & Controls Sr Associate,"compliance,underwriting,aws"
J034,Compliance Officer,Compliance Officer,"python,leadership,sql,aws"
J035,Software Engineer,Software Engineer,"ml,excel,communication"
J036,Data Scientist,Data Scientist,"ml,aws"
J037,Senior Risk Analyst,Risk & Controls Sr Associate,"java,aws,audit,compliance"
J038,Software Engineer,Software Engineer,"communication,ml"
J039,Compliance Officer,Reg Affairs Lead,"underwriting,audit,risk_modeling,ml"
