log_id,student_id,job_id,model_version,served_score,offline_score,skew,rank_position,clicked,applied,is_defect,defect_type,user_impact_score,college_tier,region
L000008,S0284,J028,v1.0,0.4014,0.4014,0.0,1,1,0,0,none,0.0,2,rural
L000015,S0144,J018,v1.1,0.7329,0.6235,0.1094,3,0,0,1,false_positive,0.547,2,urban
L000025,S0043,J029,v1.1,0.4423,0.3658,0.0764,5,0,0,0,none,0.296,2,semi_urban
L000036,S0214,J048,v1.2,0.2447,0.1453,0.0995,5,0,0,0,none,0.385,3,urban
L000043,S0133,J037,v1.0,0.3389,0.3389,0.0,2,0,0,0,none,0.0,2,rural
L000048,S0291,J024,v1.2,0.4689,0.4025,0.0664,1,0,0,0,none,0.664,1,urban
L000051,S0086,J010,v1.0,0.3643,0.3643,0.0,1,1,1,1,false_negative,0.0,3,semi_urban
L000064,S0025,J013,v1.1,0.6813,0.6491,0.0322,3,0,0,0,none,0.161,1,semi_urban
L000068,S0264,J040,v1.1,0.6406,0.5594,0.0812,3,0,0,0,none,0.406,3,semi_urban
L000069,S0239,J043,v1.1,0.3651,0.28,0.0851,2,0,0,0,none,0.537,1,rural
L000081,S0003,J011,v1.1,0.0312,0.0,0.0312,3,0,0,0,none,0.156,2,semi_urban
L000090,S0180,J022,v1.1,0.6067,0.5572,0.0495,1,1,0,0,none,0.495,3,urban
L000091,S0008,J038,v1.1,1.0,0.9608,0.1188,3,0,0,1,false_positive,0.196,1,urban
L000111,S0060,J003,v1.0,0.5746,0.5746,0.0,2,1,1,0,none,0.0,2,rural
L000115,S0187,J042,v1.1,0.7928,0.6953,0.0975,4,1,0,0,none,0.42,1,urban
L000118,S0013,J013,v1.2,0.2543,0.2165,0.0378,4,0,0,0,none,0.163,3,urban
L000121,S0290,J004,v1.2,0.5746,0.4975,0.0771,5,0,0,0,none,0.298,3,rural
L000122,S0248,J011,v1.1,0.3782,0.2794,0.0989,3,0,0,0,none,0.494,2,semi_urban
L000131,S0116,J002,v1.2,0.2053,0.1353,0.07,3,0,0,0,none,0.35,3,urban
L000132,S0026,J014,v1.2,0.085,0.0333,0.0517,1,0,0,0,none,0.517,2,rural
