student_id,parsing_precision,ontology_coverage,proctor_baseline_flag,proctor_model_fail,parsing_pass,ontology_pass,proctor_pass,overall_pass,verdict,trust_score
stu_0164,0.7360017678846151,0.5272901013909224,1,1,0,0,0,0,FAIL — parsing,0.28659391873790674
stu_0007,0.8101218097942482,0.8143849136450754,1,1,1,1,0,0,FAIL — proctoring,0.2657071820604541
stu_0063,0.9000310002431224,0.6237930200402428,1,1,1,1,0,0,FAIL — proctoring,0.14281132138930772
stu_0036,0.8658117732499533,0.8983959495738831,1,0,1,1,1,1,PASS,0.9129535085242524
stu_0174,0.7626735978347351,0.779319020943443,1,1,1,1,0,0,FAIL — proctoring,0.20029212978949532
stu_0023,0.6409617317779257,0.700412974197089,0,0,0,1,1,0,FAIL — parsing,0.2548566568414069
stu_0009,0.6074223577492718,0.7963168757870744,0,0,0,1,1,0,FAIL — parsing,0.2922375915484522
stu_0024,0.7451784314122226,0.9968385637885966,1,1,0,1,0,0,FAIL — parsing,0.2226059854054567
stu_0060,0.8133080479168251,0.5271853677582259,1,0,1,0,1,0,FAIL — ontology,0.5998822458742533
stu_0155,0.9707076215585987,0.8014908492794783,0,0,1,1,1,1,PASS,0.7040411314707414
stu_0144,0.9366313482097031,0.6910969798370791,1,1,1,1,0,0,FAIL — proctoring,0.17368348273109321
stu_0184,0.9616406901521894,0.7958132733982921,1,1,1,1,0,0,FAIL — proctoring,0.167954190055335
stu_0108,0.8918158404339391,0.5190684851843563,1,1,1,0,0,0,FAIL — ontology,0.13384307327646414
stu_0115,0.8321272186349808,0.7462832379734302,1,0,1,1,1,1,PASS,0.904883618683118
stu_0002,0.7795262004072575,0.6150984574584931,0,0,1,1,1,1,PASS,0.7176381390432841
stu_0179,0.7489382454978497,0.6262751055726115,1,0,0,1,1,0,FAIL — parsing,0.16659101335443063
stu_0088,0.9828899907258468,0.8977601722112399,1,0,1,1,1,1,PASS,0.7027565551330337
stu_0040,0.9013123145330248,0.657667759202522,1,1,1,1,0,0,FAIL — proctoring,0.20629860917749834
stu_0196,0.8596555355006879,0.7208232379574412,1,0,1,1,1,1,PASS,0.7240298812329955
stu_0027,0.6361040525344541,0.9876171670153069,0,0,0,1,1,0,INSUFFICIENT_DATA,0.3112740249522634
stu_0098,0.7297085536866904,0.988165878345381,1,0,0,1,1,0,FAIL — parsing,0.4180327246567571
stu_0092,0.6013108590459305,0.9246276462121918,0,0,0,1,1,0,FAIL — parsing,0.4058603054032287
