job_id,title,required_skills,preferred_skills,minimum_skill_score,experience_required
J001,Machine Learning Engineer,"Data Engineering, MLOps",,58,5
J002,Data Scientist,"GCP, SQL",,55,1
J003,Machine Learning Engineer,"Node.js, Computer Vision, GCP",,78,4
J004,Machine Learning Engineer,"NLP, GCP, Java, Statistics",,63,2
J005,Data Analyst,"AWS, Deep Learning",,72,4
J006,Software Engineer,"Docker, Deep Learning, AWS, SQL",,68,5
J007,Data Scientist,"Machine Learning, SQL, MLOps, AWS",Computer Vision,64,0
J008,Data Analyst,"Docker, C++, NLP, Kubernetes, Node.js","Deep Learning, AWS",54,4
J009,AI Researcher,"NLP, Docker, AWS",Statistics,85,1
J010,Data Analyst,"MLOps, SQL, Java, Computer Vision",,54,1
J011,Machine Learning Engineer,"Kubernetes, AWS, Docker, Machine Learning",NLP,65,5
J012,MLOps Engineer,"AWS, C++, MLOps, Machine Learning","Java, R, SQL",53,0
J013,Software Engineer,"GCP, Machine Learning, AWS",MLOps,79,4
J014,Data Analyst,"Deep Learning, Data Engineering, Java, SQL",,77,1
J015,MLOps Engineer,"Data Engineering, React, NLP, Node.js, SQL",,69,5
J016,Data Analyst,"C++, NLP, Python",AWS,81,0
J017,Software Engineer,"R, MLOps","SQL, Deep Learning",55,0
J018,Software Engineer,"Node.js, Statistics, React, Java, MLOps",,60,2
J019,Data Analyst,"Node.js, Computer Vision, R, React, Java",GCP,78,4
J020,Software Engineer,"MLOps, Node.js, Machine Learning, NLP, Python",,85,1
J021,Data Scientist,"Machine Learning, SQL, MLOps",,52,2
J022,Software Engineer,"Data Engineering, Kubernetes",Computer Vision,58,5
J023,Data Engineer,"Kubernetes, GCP, Computer Vision, SQL, Docker",AWS,72,3
J024,Machine Learning Engineer,"SQL, Deep Learning, Node.js, Computer Vision, C++","Data Engineering, Machine Learning, NLP",62,4
J025,Data Engineer,"GCP, NLP, Data Engineering, MLOps, Deep Learning",SQL,85,0
J026,Machine Learning Engineer,"Machine Learning, MLOps",,76,3
J027,Data Analyst,"AWS, SQL, NLP, Computer Vision, Python",Java,79,2
J028,Data Scientist,"Statistics, Computer Vision, R, Deep Learning, Python","Docker, React, GCP",70,0
J029,Data Scientist,"React, Node.js","NLP, Python, Data Engineering",61,0
J030,Software Engineer,"AWS, Deep Learning",Data Engineering,52,4
J031,AI Researcher,"React, Java","Data Engineering, Deep Learning, C++",70,1
J032,Data Engineer,"Statistics, R, Docker, NLP","React, SQL, Python",56,0
J033,Data Analyst,"Statistics, C++, Machine Learning","Node.js, NLP",68,1
J034,Data Analyst,"React, Python, R, Docker, Java","Machine Learning, Deep Learning",57,0
J035,AI Researcher,"R, Computer Vision, Java","Deep Learning, GCP",66,4
J036,Data Analyst,"SQL, Machine Learning, GCP, Kubernetes, Statistics","Python, Node.js",58,5
J037,AI Researcher,"Docker, GCP, Python, SQL",Deep Learning,59,4
J038,Data Scientist,"Node.js, Statistics","Docker, Machine Learning",69,2
J039,MLOps Engineer,"Computer Vision, MLOps","Deep Learning, NLP",85,3
J040,Machine Learning Engineer,"NLP, Node.js, GCP",Python,71,3
J041,MLOps Engineer,"NLP, Deep Learning, AWS","React, Python",80,1
J042,Machine Learning Engineer,"C++, R, MLOps","Deep Learning, Python, GCP",75,2
J043,MLOps Engineer,"Data Engineering, C++, AWS, Java",,84,2
J044,Software Engineer,"Data Engineering, NLP",,66,0
J045,Data Scientist,"C++, Java","Kubernetes, R, Data Engineering",74,4
J046,Software Engineer,"SQL, GCP, Python","Java, Kubernetes",62,2
J047,Software Engineer,"Java, Node.js, Deep Learning, C++, Statistics",,69,5
J048,AI Researcher,"AWS, R, Statistics, Deep Learning, Computer Vision","Kubernetes, Java",61,4
J049,Software Engineer,"Node.js, Python, R, Statistics","NLP, Data Engineering, AWS",70,3
J050,Data Scientist,"Computer Vision, React, Kubernetes, AWS, Docker","GCP, Machine Learning, C++",68,4
J051,Machine Learning Engineer,"MLOps, R, Node.js, AWS",,59,0
J052,Data Engineer,"Kubernetes, Machine Learning",React,62,5
J053,Machine Learning Engineer,"AWS, MLOps, Statistics, Java, C++","Python, SQL, Data Engineering",61,5
J054,MLOps Engineer,"Node.js, MLOps, Deep Learning, React, Machine Learning",,79,5
J055,Data Engineer,"React, GCP, Docker, Kubernetes","Machine Learning, C++, MLOps",66,1
J056,Data Analyst,"MLOps, Data Engineering, Docker, SQL","Kubernetes, NLP, Statistics",71,2
J057,AI Researcher,"Statistics, MLOps",Docker,59,5
J058,Software Engineer,"GCP, Node.js, Java",,79,3
J059,MLOps Engineer,"GCP, AWS",Python,74,3
J060,AI Researcher,"R, AWS","Kubernetes, Data Engineering",84,4
J061,Data Analyst,"MLOps, Data Engineering, GCP","R, Python, Computer Vision",75,5
J062,Data Scientist,"Statistics, Python, AWS","C++, Node.js, GCP",55,5
J063,Machine Learning Engineer,"Docker, NLP, SQL, Statistics, Computer Vision",R,79,2
J064,AI Researcher,"Data Engineering, GCP, Node.js, React","SQL, MLOps, Python",84,0
J065,MLOps Engineer,"Machine Learning, SQL, Python, Deep Learning",MLOps,51,4
J066,Machine Learning Engineer,"Statistics, Kubernetes, Deep Learning",C++,79,5
J067,Data Scientist,"NLP, Deep Learning, Node.js, Statistics","SQL, AWS",69,4
J068,Software Engineer,"Computer Vision, Machine Learning, MLOps, SQL, C++","Node.js, Data Engineering, Kubernetes",57,4
J069,Software Engineer,"Node.js, GCP","C++, SQL",71,0
J070,Data Engineer,"Deep Learning, GCP, C++, Java, React","Data Engineering, Kubernetes, Machine Learning",61,5
J071,Data Analyst,"Docker, GCP, Data Engineering, NLP","Node.js, Deep Learning, SQL",78,1
J072,Data Analyst,"Java, Python, Kubernetes, GCP, NLP","Deep Learning, R, Statistics",66,2
J073,Data Engineer,"Node.js, Python, Computer Vision, SQL","NLP, Docker",81,4
J074,Data Engineer,"Kubernetes, Docker, Python","Machine Learning, NLP, Statistics",65,2
J075,Data Analyst,"Node.js, React, C++, Computer Vision","GCP, R, NLP",79,2
J076,Software Engineer,"MLOps, Deep Learning, Computer Vision, NLP","SQL, Kubernetes",61,1
J077,Data Analyst,"Data Engineering, React, R","SQL, Kubernetes, Deep Learning",64,2
J078,Software Engineer,"Python, Statistics, Data Engineering","SQL, Node.js",68,5
J079,Data Analyst,"Deep Learning, Python, R","Java, Node.js, React",61,0
J080,AI Researcher,"Deep Learning, Machine Learning, AWS, MLOps","SQL, GCP, Docker",53,1
J081,Data Engineer,"Machine Learning, MLOps, Deep Learning","C++, Kubernetes",64,4
J082,AI Researcher,"Docker, R, GCP, Statistics, React","C++, Python, Node.js",56,1
J083,Data Scientist,"Machine Learning, NLP, MLOps","Deep Learning, C++",60,0
J084,Data Scientist,"Kubernetes, R, SQL, Deep Learning, Statistics","React, MLOps, C++",64,2
J085,Data Scientist,"Deep Learning, MLOps, Statistics","Node.js, Computer Vision, Machine Learning",53,1
J086,Data Engineer,"Docker, Deep Learning, Node.js, C++","NLP, GCP",67,4
J087,Data Scientist,"Machine Learning, SQL, GCP, C++, NLP","Docker, MLOps, Python",64,5
J088,AI Researcher,"SQL, NLP","Node.js, Java",78,2
J089,Data Analyst,"Kubernetes, Machine Learning, Node.js","Computer Vision, MLOps, React",56,1
J090,Data Engineer,"Kubernetes, R, AWS, GCP","React, Data Engineering, Python",55,2
J091,Data Engineer,"Deep Learning, AWS, Python, Java","Node.js, C++",76,0
J092,Software Engineer,"Kubernetes, Docker, SQL","Statistics, NLP",58,2
J093,Software Engineer,"Deep Learning, Python, MLOps, C++, Machine Learning","Data Engineering, GCP, SQL",76,0
J094,Data Engineer,"Docker, Deep Learning, Statistics",,68,4
J095,Machine Learning Engineer,"Kubernetes, Node.js, MLOps, React","R, Machine Learning, Computer Vision",82,5
J096,MLOps Engineer,"Data Engineering, GCP, Java",,82,2
J097,Software Engineer,"R, Kubernetes","Statistics, MLOps",80,2
J098,Machine Learning Engineer,"Docker, Java, Computer Vision, C++","Deep Learning, AWS, MLOps",76,0
J099,Software Engineer,"AWS, Node.js, Statistics, MLOps","Python, Machine Learning, Java",71,0
J100,Data Engineer,"React, Docker, Python, C++, Machine Learning",,59,0
