Job ID,Required Skills,Preferred Skills,Experience Requirement,Education Requirement
J_1,"Git,GCP,Machine Learning,Docker,Agile,Communication",Scrum,0,High School
J_2,"Node.js,Agile,TypeScript,CI/CD","GCP,Power BI,Deep Learning",2,Master
J_3,"Deep Learning,Python,Communication,Scrum,Kubernetes,TypeScript",,6,Bachelor
J_4,"Machine Learning,AWS,GCP","Power BI,Docker",0,Bachelor
J_5,"GCP,Docker,React,Git,Java,Deep Learning","SQL,C++,Node.js",8,Bachelor
J_6,"Machine Learning,Kubernetes,GCP,Java,CI/CD,Scrum","Azure,Power BI",7,Bachelor
J_7,"Azure,Leadership,Machine Learning","AWS,Scrum",4,High School
J_8,"Python,Leadership,SQL",Excel,8,Master
J_9,"Python,Kubernetes","C++,GCP,Communication",6,Master
J_10,"TypeScript,GCP,Machine Learning,Scrum,CI/CD,Node.js",Power BI,4,High School
J_11,"CI/CD,Scrum,Machine Learning","Kubernetes,Pandas",3,Master
J_12,"Tableau,Docker,Azure,TypeScript",Agile,8,Bachelor
J_13,"SQL,Node.js","Machine Learning,Git",8,Bachelor
J_14,"Agile,CI/CD,Python,AWS,Deep Learning,Communication",,6,Master
J_15,"Azure,Power BI,Deep Learning",Java,7,Bachelor
J_16,"Tableau,CI/CD,C++",,0,Bachelor
J_17,"Git,Java,SQL,Node.js,Azure",React,10,Bachelor
J_18,"Tableau,Scrum,Java,GCP","AWS,Agile,Power BI",7,Master
J_19,"Excel,Power BI,GCP,Machine Learning,AWS","Agile,Scrum",6,PhD
J_20,"Scrum,Node.js,Machine Learning,Java",TypeScript,5,Bachelor
J_21,"Git,Deep Learning,Power BI,Scrum","Leadership,Node.js,AWS",0,Bachelor
J_22,"Node.js,SQL,Excel,Docker,Azure,Agile",CI/CD,6,Master
J_23,"Azure,SQL,CI/CD,Power BI,AWS","Docker,Git,GCP",7,Bachelor
J_24,"Excel,C++,Agile,Machine Learning,Leadership,Docker",Deep Learning,9,Bachelor
J_25,"Pandas,Git","Docker,Kubernetes,Excel",1,Bachelor
J_26,"Kubernetes,Excel,C++,Java,Git,React",AWS,4,Master
J_27,"Node.js,C++,Excel,AWS","Python,SQL",0,Master
J_28,"Tableau,React,Power BI,SQL,Java,GCP",,4,High School
J_29,"Azure,CI/CD,Machine Learning",,6,Bachelor
J_30,"Pandas,Tableau,CI/CD","Git,Node.js",0,High School
J_31,"Machine Learning,Communication,React,C++,Leadership,GCP",Docker,6,Bachelor
J_32,"Azure,TypeScript","C++,Machine Learning",4,PhD
J_33,"React,GCP,Node.js,Pandas,AWS,Scrum","Excel,Azure,Power BI",4,Master
J_34,"React,Python,Power BI,CI/CD,Kubernetes,Excel",Machine Learning,7,Bachelor
J_35,"AWS,TypeScript","Kubernetes,Power BI,Communication",1,Bachelor
J_36,"Agile,Pandas,Machine Learning,Excel",Java,3,Master
J_37,"Pandas,Deep Learning,React,Leadership,Power BI",Tableau,9,Master
J_38,"Azure,Node.js","GCP,CI/CD,Docker",2,High School
J_39,"Python,Azure,C++,Excel,Power BI,Agile","Leadership,Docker,AWS",5,Bachelor
J_40,"Machine Learning,Node.js,Git,Pandas,React",,2,Master
J_41,"Java,C++,TypeScript",,1,High School
J_42,"Java,Agile,Tableau,Power BI,Deep Learning","Excel,Node.js,React",0,Bachelor
J_43,"CI/CD,Scrum,Azure,Tableau,Docker","Kubernetes,Java",2,Bachelor
J_44,"Tableau,Leadership,Azure","Power BI,TypeScript",3,Master
J_45,"Tableau,Git,Power BI",Python,5,Bachelor
J_46,"Pandas,Python,GCP","C++,Agile,Machine Learning",8,Bachelor
J_47,"Leadership,TypeScript",,9,High School
J_48,"Kubernetes,Agile,Python,C++",Azure,4,Master
