job_id,title,required_skills,minimum_experience,preferred_education
1000,Data Scientist,"React,PowerBI",2,Master's
1001,Data Scientist,"Python,SQL,Machine Learning,GCP,Node.js,Git",0,Bachelor's
1002,Data Analyst,"Node.js,Python,Kubernetes",2,Master's
1003,Machine Learning Engineer,"C++,Machine Learning,Java,AWS",1,Bachelor's
1004,Machine Learning Engineer,"Java,GCP,Node.js,PowerBI,AWS,Azure",4,Master's
1005,Machine Learning Engineer,"SQL,Java,C++,Machine Learning,Kubernetes,Data Analysis",1,Master's
1006,Data Scientist,"C#,Docker,Tableau,GCP,Machine Learning",4,Master's
1007,Data Scientist,"React,Docker,PowerBI,AWS,Data Analysis,C++",3,Master's
1008,Software Engineer,"C++,Kubernetes,Data Analysis",1,Bachelor's
1009,Machine Learning Engineer,"Kubernetes,GCP,SQL",4,Bachelor's
1010,DevOps Engineer,"Kubernetes,C#,Machine Learning,SQL,Node.js,React",1,Master's
1011,Data Scientist,"Azure,SQL,AWS",6,Bachelor's
1012,Full Stack Developer,"Python,Machine Learning,C++,Node.js,Kubernetes,Data Analysis",5,Bachelor's
1013,Data Analyst,"Node.js,Docker,PowerBI",1,Master's
1014,DevOps Engineer,"Data Analysis,C#,Kubernetes,SQL,Node.js,GCP",0,Bachelor's
1015,Full Stack Developer,"C#,Git",3,Bachelor's
1016,Data Scientist,"SQL,Data Analysis",2,Master's
1017,Backend Developer,"Azure,AWS,GCP,Node.js",3,Master's
1018,Data Analyst,"PowerBI,GCP,Java,Machine Learning",3,Bachelor's
1019,Software Engineer,"React,Python,Java,C#,C++,Tableau",3,Bachelor's
1020,Software Engineer,"React,Node.js,C++,PowerBI",3,Bachelor's
1021,Full Stack Developer,"Azure,AWS,Java",1,Master's
1022,Machine Learning Engineer,"Java,Machine Learning,Python,AWS,C#",5,Master's
1023,Data Scientist,"GCP,Data Analysis,AWS",2,Bachelor's
1024,Frontend Developer,"Machine Learning,Java",0,None
1025,Frontend Developer,"Tableau,AWS,Azure",6,PhD
1026,Backend Developer,"Node.js,GCP,Data Analysis,AWS,C#,Kubernetes,PowerBI,React,SQL,Machine Learning,C++",3,None
1027,Software Engineer,"Tableau,Docker,Python,Node.js",1,Master's
1028,Data Scientist,"React,Kubernetes,Java,Git,Machine Learning,Azure",0,Master's
1029,Data Analyst,"C++,Node.js,Machine Learning,PowerBI,C#,Docker",3,Bachelor's
1030,Backend Developer,"SQL,Python,React,Git",1,Bachelor's
1031,Frontend Developer,"C#,SQL,GCP,Machine Learning,Docker,Data Analysis",2,Bachelor's
1032,DevOps Engineer,"PowerBI,Python,C++,Azure,Node.js,Data Analysis",1,PhD
1033,Backend Developer,"Machine Learning,Data Analysis,Tableau,GCP",3,Master's
1034,Frontend Developer,"Node.js,Java,Tableau,C++",6,Master's
1035,Software Engineer,"Data Analysis,Node.js",2,Master's
1036,Data Analyst,"Data Analysis,Java,Azure,Docker,Git,Node.js,SQL,AWS",2,Bachelor's
1037,Machine Learning Engineer,"AWS,React",1,Bachelor's
1038,Data Analyst,"React,Docker,Kubernetes,GCP,SQL,AWS",0,Bachelor's
1039,Machine Learning Engineer,"React,Node.js,SQL,Kubernetes,C#",1,Bachelor's
1040,Software Engineer,"GCP,C#,Data Analysis,Azure,Kubernetes",3,Bachelor's
1041,Frontend Developer,"SQL,Node.js,Docker,C++,Tableau",6,Master's
1042,Machine Learning Engineer,"Node.js,Docker",4,Bachelor's
1043,Data Analyst,"C++,Azure,Git,Node.js",1,Bachelor's
1044,Frontend Developer,"Python,AWS,Docker,Tableau,Java,C++,GCP,Git,C#,Kubernetes,Node.js",4,Bachelor's
1045,Data Analyst,"Git,Data Analysis,Machine Learning,AWS",6,Master's
1046,Backend Developer,"Kubernetes,Python,Data Analysis,GCP,Machine Learning,AWS",5,Bachelor's
1047,Full Stack Developer,"Docker,SQL,Data Analysis",5,Bachelor's
1048,Frontend Developer,"AWS,Data Analysis,Python,GCP",3,None
1049,Data Scientist,"AWS,Kubernetes,React,PowerBI,Machine Learning",2,Master's
1050,Software Engineer,"React,Docker",7,Bachelor's
1051,Frontend Developer,"GCP,C++",7,Master's
1052,Data Analyst,"Docker,Tableau,React,Data Analysis,Kubernetes,Machine Learning",4,Master's
