job_id,title,required_skills,min_experience,required_education,required_certifications
1,Job_1,"AWS,Machine Learning,Docker,C++",1.8,PhD,
2,Job_2,"Node.js,Docker,Git,React,Python,C++,Java",3.2,Masters,Scrum Master
3,Job_3,"C++,Machine Learning,SQL,AWS,Node.js,Docker,Python",3.9,Masters,Scrum Master
4,Job_4,"Docker,Git,Node.js,AWS,Python",1.8,Masters,PMP
5,Job_5,"AWS,Git,Docker,Python,SQL",2.2,PhD,
6,Job_6,"Python,Git,Machine Learning,C++,Docker",4.9,Masters,"CompTIA,Google Cloud"
7,Job_7,"C++,Machine Learning,Python,Git,Node.js,Java",0.9,PhD,PMP
8,Job_8,"C++,AWS,Machine Learning,React,Java",4.5,Masters,
9,Job_9,"Python,C++,Java,Node.js,SQL,AWS,Git",0.5,Masters,Scrum Master
10,Job_10,"Python,Docker,Java",1.4,Bachelors,"CompTIA,AWS Certified"
11,Job_11,"Python,AWS,React,Machine Learning,Java,SQL,Node.js",0.1,PhD,Scrum Master
12,Job_12,"Docker,AWS,C++",5.0,PhD,
13,Job_13,"Machine Learning,AWS,C++,Node.js",1.9,PhD,AWS Certified
14,Job_14,"Git,C++,React,Docker,Node.js",1.0,PhD,Scrum Master
15,Job_15,"Node.js,C++,Docker,Java,React,AWS,Git",1.0,Bachelors,
16,Job_16,"AWS,SQL,React,Docker,Python,Java",0.0,Bachelors,
17,Job_17,"Machine Learning,Docker,AWS,Git",1.3,Masters,Google Cloud
18,Job_18,"AWS,Docker,Java,SQL",3.7,Bachelors,
19,Job_19,"C++,Machine Learning,SQL,Git,React",0.5,Masters,"Cisco,CompTIA"
20,Job_20,"SQL,Java,AWS,Python",2.8,Masters,CompTIA
21,Job_21,"Python,Java,React",1.3,Bachelors,CompTIA
22,Job_22,"Git,C++,SQL,React",4.4,Masters,AWS Certified
23,Job_23,"Node.js,React,Git",4.0,Masters,
24,Job_24,"Docker,Python,Machine Learning,C++,SQL,React,AWS",4.1,Bachelors,"Cisco,CompTIA"
25,Job_25,"Java,Node.js,Git,SQL,C++,Machine Learning",1.2,PhD,
26,Job_26,"Java,Machine Learning,SQL,Docker,AWS,C++,Python",1.3,Bachelors,AWS Certified
27,Job_27,"Node.js,Java,Docker,Machine Learning,Python,C++,React",4.4,Bachelors,
28,Job_28,"Python,Git,SQL,Java,Docker,AWS,Node.js",3.4,Masters,"PMP,Google Cloud"
29,Job_29,"Machine Learning,React,Python,SQL,C++,Java",3.8,Masters,AWS Certified
30,Job_30,"AWS,Git,Python,Java",2.1,Bachelors,
31,Job_31,"Java,SQL,Node.js,Python",2.2,PhD,"Scrum Master,AWS Certified"
32,Job_32,"SQL,Docker,Node.js",1.0,Masters,"CompTIA,Cisco"
33,Job_33,"Git,AWS,Python,Docker,Node.js,SQL,Java",0.5,PhD,"Google Cloud,AWS Certified"
34,Job_34,"React,Node.js,SQL,Java,Git,AWS,Machine Learning",0.6,PhD,
35,Job_35,"C++,Machine Learning,React",0.6,PhD,
36,Job_36,"Git,SQL,C++",4.1,PhD,"AWS Certified,Google Cloud"
37,Job_37,"AWS,React,C++,Git,Node.js,SQL,Machine Learning",3.8,Masters,Google Cloud
38,Job_38,"SQL,Node.js,C++,Python,Java",1.4,PhD,"Cisco,PMP"
39,Job_39,"Docker,Machine Learning,SQL,Java,Git",4.1,PhD,"CompTIA,Scrum Master"
40,Job_40,"C++,AWS,Git,Docker,Machine Learning,React",3.0,PhD,
41,Job_41,"Machine Learning,Git,React,C++,Python",0.8,Masters,CompTIA
42,Job_42,"Git,Node.js,Docker,React,SQL,AWS,Python",3.6,Bachelors,
43,Job_43,"Git,Node.js,Python,AWS",4.2,PhD,Google Cloud
44,Job_44,"Java,SQL,Node.js",2.1,Bachelors,Cisco
45,Job_45,"AWS,React,Git,SQL,Python,C++",1.3,Masters,Google Cloud
46,Job_46,"Machine Learning,React,Java,AWS",1.8,Bachelors,
47,Job_47,"React,Node.js,Git,Docker,AWS",0.6,Masters,"Cisco,CompTIA"
48,Job_48,"C++,Machine Learning,Python,Java,Git",3.7,PhD,"AWS Certified,Scrum Master"
49,Job_49,"Machine Learning,C++,Git,SQL,Java,AWS,React",0.5,PhD,AWS Certified
50,Job_50,"Docker,Java,Machine Learning,Git",0.1,Bachelors,"PMP,Scrum Master"
51,Job_51,"AWS,Python,Node.js,Machine Learning",4.1,PhD,
52,Job_52,"Python,C++,React,Node.js,AWS",0.4,PhD,
53,Job_53,"Docker,SQL,Java,AWS,Machine Learning",4.7,Bachelors,"Google Cloud,CompTIA"
54,Job_54,"Python,SQL,C++,React,Node.js,AWS,Java",3.5,Bachelors,
55,Job_55,"Node.js,AWS,Python,SQL",3.4,PhD,
56,Job_56,"Java,Python,Machine Learning,Node.js",4.6,Masters,
