Candidate ID,Skills,Experience Years,Education,Certifications,Projects
C_1,"Python,CI/CD,Azure",7,Bachelor,,5
C_2,"Pandas,Communication,Node.js,SQL,Python,CI/CD,C++,AWS,Leadership,Azure",6,Master,"Google Cloud Engineer,Scrum Master,PMP",0
C_3,"Git,Node.js,Docker,Azure",4,Bachelor,"AWS Solutions Architect,Machine Learning Specialization",3
C_4,"Kubernetes,Leadership,Azure",1,Master,,3
C_5,"Excel,GCP,Agile",11,Bachelor,,0
C_6,"GCP,Pandas,AWS,Machine Learning,React",8,Bachelor,"Google Cloud Engineer,PMP",2
C_7,"Scrum,Azure,Git,Agile,Pandas",5,Bachelor,Google Cloud Engineer,3
C_8,"Azure,Agile,Excel,AWS,Docker,SQL,Git,Communication",10,Bachelor,,1
C_9,"C++,Agile,Power BI,React,TypeScript,Deep Learning,Azure",4,Bachelor,"Machine Learning Specialization,Data Science Professional",3
C_10,"Kubernetes,AWS,Deep Learning,Tableau,Power BI,Pandas,SQL,Machine Learning",4,Master,"Data Science Professional,AWS Solutions Architect,Scrum Master",3
C_11,"Tableau,Azure,Excel,Python,Machine Learning,Scrum,Git,Docker,Leadership",9,Bachelor,"AWS Solutions Architect,PMP,Google Cloud Engineer",4
C_12,"Agile,GCP,Tableau",6,Bachelor,Data Science Professional,4
C_13,"Leadership,Docker",15,High School,"PMP,Google Cloud Engineer",0
C_14,"Communication,Pandas,CI/CD,Power BI,Excel",4,Bachelor,"Data Science Professional,Google Cloud Engineer,PMP",4
C_15,"C++,Excel,CI/CD,GCP,React,Kubernetes,TypeScript,Tableau",14,Bachelor,AWS Solutions Architect,2
C_16,"Communication,Excel",7,Bachelor,,0
C_17,"AWS,Pandas",1,Master,,4
C_18,"Azure,Scrum,Power BI,C++,Excel",4,Master,"Google Cloud Engineer,Scrum Master,Data Science Professional",1
C_19,"Machine Learning,Scrum,Node.js",11,Bachelor,"Machine Learning Specialization,AWS Solutions Architect,Data Science Professional",0
C_20,"CI/CD,Docker,Machine Learning,AWS,C++,Leadership,Excel,TypeScript",4,Bachelor,"Scrum Master,Google Cloud Engineer",0
C_21,"Excel,Machine Learning,SQL,Agile,CI/CD,Python,Pandas,AWS,Java",13,Bachelor,Scrum Master,0
C_22,"React,Python,Azure,TypeScript",9,Bachelor,"Google Cloud Engineer,Machine Learning Specialization,PMP",1
C_23,"Communication,CI/CD",1,Master,,0
C_24,"Tableau,CI/CD,Java,SQL,Git,Pandas,Scrum,Communication,Leadership",7,Bachelor,Data Science Professional,4
C_25,"Leadership,Pandas",13,Master,"PMP,Google Cloud Engineer",5
C_26,"AWS,Azure,React,Deep Learning,GCP,TypeScript,Docker",2,High School,,0
C_27,"C++,Tableau,Azure,Deep Learning,Kubernetes,Pandas,AWS,Leadership,GCP,Communication",14,Master,"Data Science Professional,Machine Learning Specialization",0
C_28,"GCP,Scrum,Machine Learning,Deep Learning,Azure,Git,Communication,Agile,Leadership,Tableau",6,Master,Machine Learning Specialization,5
C_29,"Tableau,Power BI,Azure,SQL,Pandas,Node.js",8,High School,"Google Cloud Engineer,PMP",1
C_30,"Excel,Git,Node.js,CI/CD,Python,Machine Learning,Pandas,Deep Learning,SQL",11,Bachelor,Scrum Master,1
C_31,"GCP,Kubernetes",1,Master,Machine Learning Specialization,1
C_32,"Kubernetes,Excel,Node.js",4,PhD,Google Cloud Engineer,1
C_33,"Python,Java,Docker,Node.js,AWS,Azure,Git,Machine Learning",12,Master,"Google Cloud Engineer,Machine Learning Specialization,Scrum Master",2
C_34,"AWS,CI/CD,Python,C++,React,Docker",8,Master,"PMP,Data Science Professional",3
