job_id,required_skills,required_levels,price_tier
J001,Cobol|Fortran|VHDL,Cobol:3|Fortran:4|VHDL:3,basic
J002,SQL|JavaScript|Python|Machine Learning|Node.js,SQL:3|JavaScript:5|Python:4|Machine Learning:3|Node.js:2,free
J003,JavaScript|AWS,JavaScript:5|AWS:3,free
J004,JavaScript|Docker|AWS|Python|React|Node.js,JavaScript:3|Docker:5|AWS:4|Python:4|React:5|Node.js:2,free
J005,Python|AWS|React,Python:4|AWS:4|React:5,premium
J006,JavaScript|AWS,JavaScript:2|AWS:2,free
J007,Docker|React|Node.js,Docker:4|React:2|Node.js:4,basic
J008,JavaScript|Node.js|AWS,JavaScript:5|Node.js:4|AWS:5,premium
J009,AWS|Docker|JavaScript|Python|Machine Learning,AWS:2|Docker:3|JavaScript:2|Python:5|Machine Learning:5,premium
J010,React|SQL|Node.js|Machine Learning|Python,React:3|SQL:5|Node.js:5|Machine Learning:2|Python:5,basic
J011,JavaScript|React,JavaScript:4|React:2,premium
J012,Node.js|Docker|React|SQL|Python|JavaScript,Node.js:3|Docker:5|React:4|SQL:5|Python:3|JavaScript:2,free
J013,Machine Learning|AWS|Node.js,Machine Learning:3|AWS:2|Node.js:5,basic
J014,Docker|React|Python,Docker:3|React:5|Python:5,free
J015,Machine Learning|Node.js,Machine Learning:5|Node.js:2,basic
J016,Docker|Python|Node.js|AWS|SQL,Docker:5|Python:5|Node.js:2|AWS:2|SQL:2,premium
J017,SQL|Machine Learning|AWS|JavaScript|Node.js|Docker,SQL:4|Machine Learning:2|AWS:3|JavaScript:5|Node.js:4|Docker:5,premium
J018,Machine Learning|Python|AWS|JavaScript,Machine Learning:2|Python:4|AWS:4|JavaScript:4,premium
J019,Docker|Machine Learning|Python|AWS|JavaScript|Node.js,Docker:3|Machine Learning:5|Python:2|AWS:4|JavaScript:3|Node.js:3,free
J020,Node.js|Machine Learning|JavaScript|React|Python,Node.js:5|Machine Learning:2|JavaScript:2|React:5|Python:5,premium
J021,React|Node.js|Python|SQL|Docker|Machine Learning,React:5|Node.js:5|Python:3|SQL:3|Docker:3|Machine Learning:2,basic
J022,Docker|SQL|Node.js|Machine Learning|JavaScript|AWS,Docker:5|SQL:4|Node.js:4|Machine Learning:5|JavaScript:3|AWS:3,basic
J023,SQL|AWS|Docker|Machine Learning|React|Node.js,SQL:3|AWS:3|Docker:3|Machine Learning:4|React:4|Node.js:3,premium
J024,Docker|Machine Learning|Python,Docker:4|Machine Learning:5|Python:5,premium
J025,SQL|AWS|Node.js|Python|Machine Learning|Docker,SQL:5|AWS:3|Node.js:2|Python:2|Machine Learning:3|Docker:4,free
J026,SQL|JavaScript|Python|React,SQL:3|JavaScript:2|Python:4|React:5,free
J027,Node.js|Docker|AWS|SQL|Machine Learning|Python,Node.js:4|Docker:2|AWS:5|SQL:5|Machine Learning:5|Python:4,premium
J028,Python|Docker,Python:4|Docker:3,premium
J029,Node.js|Docker|AWS|React|JavaScript,Node.js:3|Docker:4|AWS:5|React:3|JavaScript:2,free
J030,JavaScript|Node.js|Python,JavaScript:5|Node.js:4|Python:4,free
J031,SQL|Python|React,SQL:5|Python:3|React:2,free
J032,Python|AWS|Docker|SQL,Python:4|AWS:5|Docker:4|SQL:2,premium
J033,Node.js|JavaScript|SQL|Python,Node.js:3|JavaScript:5|SQL:5|Python:2,basic
J034,Node.js|Docker|React,Node.js:4|Docker:4|React:4,free
J035,Machine Learning|SQL|Docker|Python|AWS|React,Machine Learning:4|SQL:5|Docker:3|Python:3|AWS:2|React:4,basic
J036,AWS|React,AWS:4|React:2,premium
J037,Machine Learning|Node.js|Python|React,Machine Learning:3|Node.js:4|Python:2|React:2,free
J038,Python|Docker|Machine Learning|JavaScript|SQL|React,Python:5|Docker:2|Machine Learning:3|JavaScript:5|SQL:2|React:3,free
J039,Docker|Python|AWS|Machine Learning|SQL,Docker:3|Python:4|AWS:2|Machine Learning:3|SQL:4,basic
J040,Machine Learning|Docker|Node.js|AWS|React,Machine Learning:2|Docker:5|Node.js:2|AWS:2|React:2,premium
J041,Python|Docker|Machine Learning|React|AWS|JavaScript,Python:4|Docker:2|Machine Learning:4|React:5|AWS:5|JavaScript:5,premium
J042,Machine Learning|JavaScript,Machine Learning:3|JavaScript:3,premium
J043,SQL|Docker|JavaScript|React|Machine Learning,SQL:2|Docker:3|JavaScript:2|React:2|Machine Learning:2,premium
J044,AWS|SQL|Machine Learning|Python|React|Docker,AWS:4|SQL:3|Machine Learning:5|Python:3|React:3|Docker:3,free
J045,SQL|JavaScript|Python|AWS|Docker|React,SQL:5|JavaScript:2|Python:4|AWS:2|Docker:4|React:2,free
