row_index,probability,score_meaning,decision,decision_label,threshold_used,model_version,model_name,calibration_method
0,0.874929,Calibrated (isotonic) probability that the tumor is BENIGN (positive class = 1). A value near 1.0 means high confidence of benign; near 0.0 means high confidence of malignant. The 'decision' field applies the operating threshold (0.37) chosen in Task 12 to minimize the real clinical cost of errors — it is NOT a plain 0.5 cutoff.,1,benign,0.37,sha256:f27b186532ae8d4e,logreg,isotonic
1,0.0,Calibrated (isotonic) probability that the tumor is BENIGN (positive class = 1). A value near 1.0 means high confidence of benign; near 0.0 means high confidence of malignant. The 'decision' field applies the operating threshold (0.37) chosen in Task 12 to minimize the real clinical cost of errors — it is NOT a plain 0.5 cutoff.,0,malignant,0.37,sha256:f27b186532ae8d4e,logreg,isotonic
2,0.0,Calibrated (isotonic) probability that the tumor is BENIGN (positive class = 1). A value near 1.0 means high confidence of benign; near 0.0 means high confidence of malignant. The 'decision' field applies the operating threshold (0.37) chosen in Task 12 to minimize the real clinical cost of errors — it is NOT a plain 0.5 cutoff.,0,malignant,0.37,sha256:f27b186532ae8d4e,logreg,isotonic
3,0.993939,Calibrated (isotonic) probability that the tumor is BENIGN (positive class = 1). A value near 1.0 means high confidence of benign; near 0.0 means high confidence of malignant. The 'decision' field applies the operating threshold (0.37) chosen in Task 12 to minimize the real clinical cost of errors — it is NOT a plain 0.5 cutoff.,1,benign,0.37,sha256:f27b186532ae8d4e,logreg,isotonic
4,1.0,Calibrated (isotonic) probability that the tumor is BENIGN (positive class = 1). A value near 1.0 means high confidence of benign; near 0.0 means high confidence of malignant. The 'decision' field applies the operating threshold (0.37) chosen in Task 12 to minimize the real clinical cost of errors — it is NOT a plain 0.5 cutoff.,1,benign,0.37,sha256:f27b186532ae8d4e,logreg,isotonic
5,0.0,Calibrated (isotonic) probability that the tumor is BENIGN (positive class = 1). A value near 1.0 means high confidence of benign; near 0.0 means high confidence of malignant. The 'decision' field applies the operating threshold (0.37) chosen in Task 12 to minimize the real clinical cost of errors — it is NOT a plain 0.5 cutoff.,0,malignant,0.37,sha256:f27b186532ae8d4e,logreg,isotonic
6,0.0,Calibrated (isotonic) probability that the tumor is BENIGN (positive class = 1). A value near 1.0 means high confidence of benign; near 0.0 means high confidence of malignant. The 'decision' field applies the operating threshold (0.37) chosen in Task 12 to minimize the real clinical cost of errors — it is NOT a plain 0.5 cutoff.,0,malignant,0.37,sha256:f27b186532ae8d4e,logreg,isotonic
7,0.0,Calibrated (isotonic) probability that the tumor is BENIGN (positive class = 1). A value near 1.0 means high confidence of benign; near 0.0 means high confidence of malignant. The 'decision' field applies the operating threshold (0.37) chosen in Task 12 to minimize the real clinical cost of errors — it is NOT a plain 0.5 cutoff.,0,malignant,0.37,sha256:f27b186532ae8d4e,logreg,isotonic
8,0.866188,Calibrated (isotonic) probability that the tumor is BENIGN (positive class = 1). A value near 1.0 means high confidence of benign; near 0.0 means high confidence of malignant. The 'decision' field applies the operating threshold (0.37) chosen in Task 12 to minimize the real clinical cost of errors — it is NOT a plain 0.5 cutoff.,1,benign,0.37,sha256:f27b186532ae8d4e,logreg,isotonic
9,0.992319,Calibrated (isotonic) probability that the tumor is BENIGN (positive class = 1). A value near 1.0 means high confidence of benign; near 0.0 means high confidence of malignant. The 'decision' field applies the operating threshold (0.37) chosen in Task 12 to minimize the real clinical cost of errors — it is NOT a plain 0.5 cutoff.,1,benign,0.37,sha256:f27b186532ae8d4e,logreg,isotonic
