student_id,job_id,explanation_text,quality_label,quality_reason,skill_gap_list,rank_position,audience
S0103,J020,You're ranked #4 for this role. Missing: Ruby.,0,states incorrect rank,Ruby,2,officer
S0053,J002,"Your current position is #5. Gaps identified: K8s. If you learn K8s, you might jump to #4.",1,"actionable, specific, mentions correct skills and rank","K8s,Docker",5,officer
S0188,J016,Rank: 4. Ruby is required. Adding it could shift you up to 3.,1,"actionable, specific, mentions correct skills and rank","Ruby,SQL",4,officer
S0009,J002,Top features: match_score (0.41). Missing Go. Rank change if Go added: #5 -> #4.,1,"actionable, specific, mentions correct skills and rank","Go,C++",5,officer
S0191,J018,"Your current position is #3. Gaps identified: Docker. If you learn Docker, you might jump to #2.",1,"actionable, specific, mentions correct skills and rank","Docker,C++",3,student
S0024,J013,You're ranked #2 for this role. Missing: React. Acquiring this skill could move you to #1.,1,"actionable, specific, mentions correct skills and rank",React,2,admin
S0005,J010,"Your current position is #4. Gaps identified: Ruby. If you learn Ruby, you might jump to #3.",1,"actionable, specific, mentions correct skills and rank","Ruby,React",4,student
S0175,J014,Good match overall. Student is recommended.,0,too generic,Azure,4,student
S0096,J004,You are rank #3. You are missing C++. There is no way to improve.,0,correct features but unhelpful and negative tone,C++,3,officer
S0028,J012,You are rank #5. You are missing AWS. There is no way to improve.,0,correct features but unhelpful and negative tone,"AWS,SQL",5,student
S0003,J007,Good match overall. Student is recommended.,0,too generic,"Ruby,React",3,officer
S0052,J012,You are rank #3. You are missing C++. There is no way to improve.,0,correct features but unhelpful and negative tone,C++,3,student
S0129,J019,Student has match_score weight 0.41 and ai_trust_score 0.99. Rank #3.,0,"correct but not actionable for student, no counterfactual","Git,SQL",3,officer
S0198,J011,Rank: 4. Java is required. Adding it could shift you up to 3.,1,"actionable, specific, mentions correct skills and rank","Java,Azure",4,admin
S0052,J009,"Your current position is #2. Gaps identified: Azure. If you learn Azure, you might jump to #1.",1,"actionable, specific, mentions correct skills and rank","Azure,Java",2,admin
S0144,J016,You're ranked #4 for this role. Missing: Ruby.,0,states incorrect rank,"Ruby,K8s",2,admin
S0048,J016,"Your current position is #4. Gaps identified: Java. If you learn Java, you might jump to #3.",1,"actionable, specific, mentions correct skills and rank","Java,Go",4,officer
S0099,J018,Student has match_score weight 0.41 and ai_trust_score 0.99. Rank #5.,0,"correct but not actionable for student, no counterfactual","C++,Go",5,admin
S0195,J017,Top features: match_score (0.41). Missing Python. Rank change if Python added: #5 -> #4.,1,"actionable, specific, mentions correct skills and rank",Python,5,student
S0030,J001,You're ranked #7 for this role. Missing: Git.,0,states incorrect rank,Git,5,student
S0037,J017,You are rank #3. Missing: Docker. Add it to improve.,0,hallucinated skill not in gap list,C++,3,officer
S0024,J018,Top features: match_score (0.41). Missing Java. Rank change if Java added: #5 -> #4.,1,"actionable, specific, mentions correct skills and rank",Java,5,admin
S0026,J003,You're ranked #5 for this role. Missing: Go.,0,states incorrect rank,Go,3,admin
S0143,J002,Student has match_score weight 0.41 and ai_trust_score 0.99. Rank #3.,0,"correct but not actionable for student, no counterfactual","Python,Ruby",3,officer
S0070,J015,Rank: 3. C++ is required. Adding it could shift you up to 2.,1,"actionable, specific, mentions correct skills and rank",C++,3,officer
S0047,J003,You are rank #4. You are missing Git. There is no way to improve.,0,correct features but unhelpful and negative tone,"Git,Java",4,officer
S0023,J009,You're ranked #5 for this role. Missing: Git. Acquiring this skill could move you to #4.,1,"actionable, specific, mentions correct skills and rank",Git,5,admin
S0192,J005,Student has match_score weight 0.41 and ai_trust_score 0.99. Rank #3.,0,"correct but not actionable for student, no counterfactual",AWS,3,student
S0144,J016,You are rank #2. Missing: Docker. Add it to improve.,0,hallucinated skill not in gap list,Go,2,officer
S0096,J001,You're ranked #5 for this role. Missing: React. Acquiring this skill could move you to #4.,1,"actionable, specific, mentions correct skills and rank",React,5,student
